Text,Language
nature broadest natural physical material world universe,English
nature refer phenomenon physical world life general,English
the study nature large part science,English
although human part nature human activity understood separate category natural phenomenon,English
the word nature borrowed old french nature derived latin word natura essential quality innate disposition ancient time literally meant birth,English
in ancient philosophy natura latin translation greek word physis φύσις originally related intrinsic characteristic plant animal feature world develop accord,English
the concept nature physical universe expansion original notion began core application word φύσις philosopher word dynamic dimension especially heraclitus steadily gained currency,English
during advent modern scientific method century nature passive reality organized moved divine law,English
with industrial revolution nature increasingly part reality deprived intentional intervention considered sacred tradition rousseau american transcendentalism decorum divine providence human history hegel marx,English
however vitalist vision nature closer presocratic reborn time especially charles darwin,English
within word today nature refers geology wildlife,English
nature refer general realm living plant animal case process associated inanimate particular type thing exist change accord weather geology earth,English
it natural environment animal rock forest general thing substantially altered human intervention persist despite human intervention,English
for manufactured object human interaction generally considered part nature qualified human nature nature,English
this traditional concept natural thing found today implies distinction natural artificial artificial understood brought human consciousness human mind,English
depending particular context term natural distinguished unnatural supernatural,English
earth planet support life natural feature subject field scientific research,English
within solar system closest sun largest terrestrial planet largest,English
it prominent climatic feature large polar region relatively narrow temperate zone wide equatorial tropical subtropical region,English
precipitation varies widely location metre water year millimetre,English
percent earth surface covered ocean,English
the remainder consists continent island inhabited land northern hemisphere,English
earth evolved geological biological process left trace original condition,English
the outer surface divided gradually migrating tectonic plate,English
the interior remains active thick layer plastic mantle core generates magnetic field,English
this iron core composed solid phase fluid outer phase,English
convective motion core generates electric current dynamo action turn generate geomagnetic field,English
the atmospheric condition significantly altered original condition presence create ecological balance stabilizes surface condition,English
despite wide regional variation climate latitude geographic factor average global climate stable interglacial period variation degree average global temperature historically major effect ecological balance actual geography earth,English
geology science study solid liquid matter constitutes earth,English
the field geology encompasses study composition structure physical property dynamic history earth material process formed moved changed,English
the field major academic discipline important mineral hydrocarbon extraction knowledge mitigation natural hazard geotechnical engineering field understanding past climate environment,English
the geology area evolves time rock unit deposited inserted deformational process change shape location,English
rock unit emplaced deposition surface intrude overlying rock,English
deposition occur sediment settle surface earth lithify sedimentary rock volcanic material volcanic ash lava flow blanket surface,English
igneous intrusion batholith laccoliths dike sill push upwards overlying rock crystallize intrude,English
after initial sequence rock deposited rock unit deformed metamorphosed,English
deformation typically occurs result horizontal shortening horizontal extension motion,English
these structural regime broadly relate convergent boundary divergent boundary transform boundary respectively tectonic plate,English
earth estimated formed billion year ago solar nebula sun planet,English
the moon formed roughly million year,English
initially molten outer layer earth cooled resulting solid crust,English
outgassing volcanic activity produced primordial atmosphere,English
condensing water vapor ice delivered comet produced ocean water source,English
the highly energetic chemistry believed produced molecule billion year ago,English
continent formed broke reformed surface earth reshaped hundred million year occasionally combining make supercontinent,English
roughly million year ago earliest supercontinent rodinia began break,English
the continent recombined form pannotia broke million year ago finally pangaea broke million year ago,English
